Song Clean,ARTIST CLEAN,Release Year,COMBINED,First?,Year?,PlayCount,F*G
Badge,Cream,1969,Badge by Cream,1,1,13,13
Ah! Leah!,Donnie Iris,1980,Ah! Leah! by Donnie Iris,1,1,13,13
Alison,Elvis Costello,1977,Alison by Elvis Costello,1,1,13,13
November Rain,Guns N' Roses,1991,November Rain by Guns N' Roses,1,1,13,13
Somebody to Love,Jefferson Airplane,1967,Somebody to Love by Jefferson Airplane,1,1,13,13
Living In The Past,Jethro Tull,1969,Living In The Past by Jethro Tull,1,1,13,13
Feeling That Way,Journey,1978,Feeling That Way by Journey,1,1,13,13
Old Man,Neil Young,1972,Old Man by Neil Young,1,1,13,13
Mrs. Robinson,Simon & Garfunkel,1968,Mrs. Robinson by Simon & Garfunkel,1,1,13,13
"Ob-la-di, Ob-la-da",The Beatles,1968,"Ob-la-di, Ob-la-da by The Beatles",1,1,13,13
Rockin' Down The Highway,The Doobie Brothers,1972,Rockin' Down The Highway by The Doobie Brothers,1,1,13,13
Take Me In Your Arms,The Doobie Brothers,1975,Take Me In Your Arms by The Doobie Brothers,1,1,13,13
My Sharona,The Knack,1979,My Sharona by The Knack,1,1,13,13
Walking On The Moon,The Police,1979,Walking On The Moon by The Police,1,1,13,13
Long Live Rock,The Who,1972,Long Live Rock by The Who,1,1,13,13
Desire,U2,1988,Desire by U2,1,1,13,13
Ice Cream Man,Van Halen,1978,Ice Cream Man by Van Halen,1,1,13,13
Changes,Yes,1983,Changes by Yes,1,1,13,13
Who Made Who,AC/DC,1986,Who Made Who by AC/DC,1,1,12,12
Angel,Aerosmith,1987,Angel by Aerosmith,1,1,12,12
Jessica,Allman Brothers Band,1973,Jessica by Allman Brothers Band,1,1,12,12
Ramblin' Gamblin' Man,Bob Seger,1968,Ramblin' Gamblin' Man by Bob Seger,1,1,12,12
Travelin' Band,Creedence Clearwater Revival,1970,Travelin' Band by Creedence Clearwater Revival,1,1,12,12
Down To The Waterline,Dire Straits,1978,Down To The Waterline by Dire Straits,1,1,12,12
Heavy Metal,Don Felder,1981,Heavy Metal by Don Felder,1,1,12,12
Livin' Thing,Electric Light Orchestra,1976,Livin' Thing by Electric Light Orchestra,1,1,12,12
Man On The Corner,Genesis,1981,Man On The Corner by Genesis,1,1,12,12
"Once Bitten, Twice Shy",Great White,1989,"Once Bitten, Twice Shy by Great White",1,1,12,12
Need You Tonight,INXS,1987,Need You Tonight by INXS,1,1,12,12
Cross-eyed Mary,Jethro Tull,1971,Cross-eyed Mary by Jethro Tull,1,1,12,12
The Old Man Down The Road,John Fogerty,1985,The Old Man Down The Road by John Fogerty,1,1,12,12
Cult Of Personality,Living Colour,1988,Cult Of Personality by Living Colour,1,1,12,12
All the Young Dudes,Mott the Hoople,1972,All the Young Dudes by Mott the Hoople,1,1,12,12
Jet,Paul McCartney & Wings,1973,Jet by Paul McCartney & Wings,1,1,12,12
Empty Spaces/young Lust,Pink Floyd,1979,Empty Spaces/young Lust by Pink Floyd,1,1,12,12
One Of These Days,Pink Floyd,1971,One Of These Days by Pink Floyd,1,1,12,12
Under Pressure,Queen,1981,Under Pressure by Queen,1,1,12,12
Oh Sherrie,Steve Perry,1984,Oh Sherrie by Steve Perry,1,1,12,12
Superstition,Stevie Wonder,1973,Superstition by Stevie Wonder,1,1,12,12
Birthday,The Beatles,1969,Birthday by The Beatles,1,1,12,12
Reprise / Day in the Life,The Beatles,1967,Reprise / Day in the Life by The Beatles,1,1,12,12
Train In Vain,The Clash,1979,Train In Vain by The Clash,1,1,12,12
Going Mobile,The Who,1971,Going Mobile by The Who,1,1,12,12
Magic Bus,The Who,1968,Magic Bus by The Who,1,1,12,12
The Real Me,The Who,1973,The Real Me by The Who,1,1,12,12
Hold Your Head Up,Argent,1972,Hold Your Head Up by Argent,1,1,11,11
My Life,Billy Joel,1978,My Life by Billy Joel,1,1,11,11
Heart of Glass,Blondie,1978,Heart of Glass by Blondie,1,1,11,11
Hitch A Ride,Boston,1976,Hitch A Ride by Boston,1,1,11,11
Lido Shuffle,Boz Scaggs,1976,Lido Shuffle by Boz Scaggs,1,1,11,11
Sunshine of Your Love,Cream,1967,Sunshine of Your Love by Cream,1,1,11,11
The Heart of the Matter,Don Henley,1989,The Heart of the Matter by Don Henley,1,1,11,11
Karn Evil 9,"Emerson, Lake & Palmer",1973,"Karn Evil 9 by Emerson, Lake & Palmer",1,1,11,11
No Sugar Tonight / New Mother Nature,Guess Who,1970,No Sugar Tonight / New Mother Nature by Guess Who,1,1,11,11
Centerfield,John Fogerty,1985,Centerfield by John Fogerty,1,1,11,11
In the Evening,Led Zeppelin,1979,In the Evening by Led Zeppelin,1,1,11,11
Since I've Been Loving You,Led Zeppelin,1970,Since I've Been Loving You by Led Zeppelin,1,1,11,11
The Battle Of Evermore,Led Zeppelin,1971,The Battle Of Evermore by Led Zeppelin,1,1,11,11
Are You Gonna Go My Way,Lenny Kravitz,1993,Are You Gonna Go My Way by Lenny Kravitz,1,1,11,11
Wild Side,Motley Crue,1987,Wild Side by Motley Crue,1,1,11,11
In Bloom,Nirvana,1991,In Bloom by Nirvana,1,1,11,11
Black,Pearl Jam,1991,Black by Pearl Jam,1,1,11,11
Goodbye Blue Sky,Pink Floyd,1979,Goodbye Blue Sky by Pink Floyd,1,1,11,11
Addicted to Love,Robert Palmer,1985,Addicted to Love by Robert Palmer,1,1,11,11
Big Log,Robert Plant,1983,Big Log by Robert Plant,1,1,11,11
Tumbling Dice,Rolling Stones,1972,Tumbling Dice by Rolling Stones,1,1,11,11
Red Barchetta,Rush,1981,Red Barchetta by Rush,1,1,11,11
Sgt. Pepper/with A Little Help From My Friends,The Beatles,1967,Sgt. Pepper/with A Little Help From My Friends by The Beatles,1,1,11,11
Something,The Beatles,1969,Something by The Beatles,1,1,11,11
Magic,The Cars,1984,Magic by The Cars,1,1,11,11
The Crystal Ship,The Doors,1967,The Crystal Ship by The Doors,1,1,11,11
867-5309 / Jenny,Tommy Tutone,1982,867-5309 / Jenny by Tommy Tutone,1,1,11,11
Welcome To My Nightmare,Alice Cooper,1975,Welcome To My Nightmare by Alice Cooper,1,1,10,10
Dancing In the Dark,Bruce Springsteen,1984,Dancing In the Dark by Bruce Springsteen,1,1,10,10
Up Around the Bend,Creedence Clearwater Revival,1970,Up Around the Bend by Creedence Clearwater Revival,1,1,10,10
Suite: Judy Blue Eyes,"Crosby, Stills & Nash",1969,"Suite: Judy Blue Eyes by Crosby, Stills & Nash",1,1,10,10
Golden Years,David Bowie,1975,Golden Years by David Bowie,1,1,10,10
Modern Love,David Bowie,1983,Modern Love by David Bowie,1,1,10,10
Expresso Love,Dire Straits,1980,Expresso Love by Dire Straits,1,1,10,10
All She Wants to Do Is Dance,Don Henley,1985,All She Wants to Do Is Dance by Don Henley,1,1,10,10
It's In The Way That You Use It,Eric Clapton,1986,It's In The Way That You Use It by Eric Clapton,1,1,10,10
Lay Down Sally,Eric Clapton,1977,Lay Down Sally by Eric Clapton,1,1,10,10
Signs,Five Man Electrical Band,1970,Signs by Five Man Electrical Band,1,1,10,10
Oh Well,Fleetwood Mac,1969,Oh Well by Fleetwood Mac,1,1,10,10
Learn To Fly,Foo Fighters,1999,Learn To Fly by Foo Fighters,1,1,10,10
Good Riddance (Time Of Your Life),Green Day,1997,Good Riddance (Time Of Your Life) by Green Day,1,1,10,10
Open Arms,Journey,1982,Open Arms by Journey,1,1,10,10
Your Time Is Gonna Come,Led Zeppelin,1969,Your Time Is Gonna Come by Led Zeppelin,1,1,10,10
Fly Away,Lenny Kravitz,1998,Fly Away by Lenny Kravitz,1,1,10,10
Paradise By The Dashboard Light,Meat Loaf,1977,Paradise By The Dashboard Light by Meat Loaf,1,1,10,10
Nothing Else Matters,Metallica,1991,Nothing Else Matters by Metallica,1,1,10,10
Rockstar,Nickelback,2005,Rockstar by Nickelback,1,1,10,10
Lithium,Nirvana,1991,Lithium by Nirvana,1,1,10,10
Shot in the Dark,Ozzy Osbourne,1986,Shot in the Dark by Ozzy Osbourne,1,1,10,10
Daughter,Pearl Jam,1993,Daughter by Pearl Jam,1,1,10,10
Silent Lucidity,Queensryche,1990,Silent Lucidity by Queensryche,1,1,10,10
Orange Crush,R.E.M.,1988,Orange Crush by R.E.M.,1,1,10,10
Heavy Metal,Sammy Hagar,1982,Heavy Metal by Sammy Hagar,1,1,10,10
Big City Nights,Scorpions,1984,Big City Nights by Scorpions,1,1,10,10
Wind Of Change,Scorpions,1990,Wind Of Change by Scorpions,1,1,10,10
Free for All,Ted Nugent,1977,Free for All by Ted Nugent,1,1,10,10
Yesterday,The Beatles,1965,Yesterday by The Beatles,1,1,10,10
Twice As Hard,The Black Crowes,1990,Twice As Hard by The Black Crowes,1,1,10,10
Jesus Is Just Alright,The Doobie Brothers,1972,Jesus Is Just Alright by The Doobie Brothers,1,1,10,10
King Of Pain,The Police,1983,King Of Pain by The Police,1,1,10,10
Don't Get Me Wrong,The Pretenders,1986,Don't Get Me Wrong by The Pretenders,1,1,10,10
I Can See For Miles,The Who,1968,I Can See For Miles by The Who,1,1,10,10
Life Is a Highway,Tom Cochrane,1992,Life Is a Highway by Tom Cochrane,1,1,10,10
Godzilla,Blue Oyster Cult,1977,Godzilla by Blue Oyster Cult,1,1,9,9
Pink Cadillac,Bruce Springsteen,1984,Pink Cadillac by Bruce Springsteen,1,1,9,9
Nobody's Fool,Cinderella,1986,Nobody's Fool by Cinderella,1,1,9,9
Southern Cross,"Crosby, Stills & Nash",1982,"Southern Cross by Crosby, Stills & Nash",1,1,9,9
Forever Man,Eric Clapton,1985,Forever Man by Eric Clapton,1,1,9,9
I Can't Stand It,Eric Clapton,1981,I Can't Stand It by Eric Clapton,1,1,9,9
Dream Weaver,Gary Wright,1975,Dream Weaver by Gary Wright,1,1,9,9
Loco-Motion,Grand Funk Railroad,1974,Loco-Motion by Grand Funk Railroad,1,1,9,9
Uncle John's Band,Grateful Dead,1969,Uncle John's Band by Grateful Dead,1,1,9,9
Doctor My Eyes,Jackson Browne,1972,Doctor My Eyes by Jackson Browne,1,1,9,9
With A Little Help From My Friends,Joe Cocker,1968,With A Little Help From My Friends by Joe Cocker,1,1,9,9
Traveling Riverside Blues,Led Zeppelin,1982,Traveling Riverside Blues by Led Zeppelin,1,1,9,9
You Took The Words Right Out Of My Mouth,Meat Loaf,1977,You Took The Words Right Out Of My Mouth by Meat Loaf,1,1,9,9
Breathe,Pink Floyd,1973,Breathe by Pink Floyd,1,1,9,9
Still Loving You,Scorpions,1984,Still Loving You by Scorpions,1,1,9,9
Stop Draggin' My Heart Around,Stevie Nicks w/ Tom Petty and the Heartbreakers,1981,Stop Draggin' My Heart Around by Stevie Nicks w/ Tom Petty and the Heartbreakers,1,1,9,9
Peace Frog,The Doors,1970,Peace Frog by The Doors,1,1,9,9
Waterloo Sunset,The Kinks,1967,Waterloo Sunset by The Kinks,1,1,9,9
Bang the Drum All Day,Todd Rundgren,1983,Bang the Drum All Day by Todd Rundgren,1,1,9,9
N.i.b.,Black Sabbath,1970,N.i.b. by Black Sabbath,1,1,8,8
Blaze of Glory,Bon Jovi,1990,Blaze of Glory by Bon Jovi,1,1,8,8
Suzie Q,Creedence Clearwater Revival,1968,Suzie Q by Creedence Clearwater Revival,1,1,8,8
Just A Gigolo / I Ain't Got Nobody,David Lee Roth,1985,Just A Gigolo / I Ain't Got Nobody by David Lee Roth,1,1,8,8
Yankee Rose,David Lee Roth,1986,Yankee Rose by David Lee Roth,1,1,8,8
Romeo And Juliet,Dire Straits,1980,Romeo And Juliet by Dire Straits,1,1,8,8
Levon,Elton John,1971,Levon by Elton John,1,1,8,8
Veronica,Elvis Costello,1989,Veronica by Elvis Costello,1,1,8,8
Lucky Man,"Emerson, Lake & Palmer",1970,"Lucky Man by Emerson, Lake & Palmer",1,1,8,8
Right Down the Line,Gerry Rafferty,1978,Right Down the Line by Gerry Rafferty,1,1,8,8
Closer To Home (I'm Your Captain),Grand Funk Railroad,1970,Closer To Home (I'm Your Captain) by Grand Funk Railroad,1,1,8,8
Wasted Years,Iron Maiden,1986,Wasted Years by Iron Maiden,1,1,8,8
Crosstown Traffic,Jimi Hendrix,1968,Crosstown Traffic by Jimi Hendrix,1,1,8,8
All Summer Long,Kid Rock,2007,All Summer Long by Kid Rock,1,1,8,8
Hats Off To {roy} Harper,Led Zeppelin,1970,Hats Off To {roy} Harper by Led Zeppelin,1,1,8,8
Thank You,Led Zeppelin,1969,Thank You by Led Zeppelin,1,1,8,8
The Ballad Of Curtis Loew,Lynyrd Skynyrd,1974,The Ballad Of Curtis Loew by Lynyrd Skynyrd,1,1,8,8
I Don't Know,Ozzy Osbourne,1980,I Don't Know by Ozzy Osbourne,1,1,8,8
No More Tears,Ozzy Osbourne,1991,No More Tears by Ozzy Osbourne,1,1,8,8
Shadows Of The Night,Pat Benatar,1982,Shadows Of The Night by Pat Benatar,1,1,8,8
Red Rain,Peter Gabriel,1986,Red Rain by Peter Gabriel,1,1,8,8
Empty Spaces,Pink Floyd,1979,Empty Spaces by Pink Floyd,1,1,8,8
Scar Tissue,Red Hot Chili Peppers,1999,Scar Tissue by Red Hot Chili Peppers,1,1,8,8
Soul to Squeeze,Red Hot Chili Peppers,1993,Soul to Squeeze by Red Hot Chili Peppers,1,1,8,8
Street Fighting Man,Rolling Stones,1968,Street Fighting Man by Rolling Stones,1,1,8,8
Hey Nineteen,Steely Dan,1980,Hey Nineteen by Steely Dan,1,1,8,8
Eye of the Tiger,Survivor,1982,Eye of the Tiger by Survivor,1,1,8,8
Psycho Killer,Talking Heads,1977,Psycho Killer by Talking Heads,1,1,8,8
The Ballad Of John And Yoko,The Beatles,1969,The Ballad Of John And Yoko by The Beatles,1,1,8,8
London Calling,The Clash,1979,London Calling by The Clash,1,1,8,8
Substitute,The Who,1966,Substitute by The Who,1,1,8,8
Beer Drinkers & Hell Raisers,ZZ Top,1973,Beer Drinkers & Hell Raisers by ZZ Top,1,1,8,8
Crazy,Aerosmith,1993,Crazy by Aerosmith,1,1,7,7
Captain Jack,Billy Joel,1973,Captain Jack by Billy Joel,1,1,7,7
Katmandu,Bob Seger,1975,Katmandu by Bob Seger,1,1,7,7
Mainstreet,Bob Seger,1977,Mainstreet by Bob Seger,1,1,7,7
Bad Medicine,Bon Jovi,1988,Bad Medicine by Bon Jovi,1,1,7,7
The Way It Is,Bruce Hornsby & The Range,1986,The Way It Is by Bruce Hornsby & The Range,1,1,7,7
Hungry Heart,Bruce Springsteen,1980,Hungry Heart by Bruce Springsteen,1,1,7,7
Thunder Road,Bruce Springsteen,1975,Thunder Road by Bruce Springsteen,1,1,7,7
Ziggy Stardust,David Bowie,1972,Ziggy Stardust by David Bowie,1,1,7,7
Crocodile Rock,Elton John,1972,Crocodile Rock by Elton John,1,1,7,7
My Hero,Foo Fighters,1997,My Hero by Foo Fighters,1,1,7,7
Sundown,Gordon Lightfoot,1974,Sundown by Gordon Lightfoot,1,1,7,7
Somebody's Baby,Jackson Browne,1982,Somebody's Baby by Jackson Browne,1,1,7,7
Manic Depression,Jimi Hendrix,1967,Manic Depression by Jimi Hendrix,1,1,7,7
Lonely Ol' Night,John Mellencamp,1985,Lonely Ol' Night by John Mellencamp,1,1,7,7
Breaking The Law,Judas Priest,1980,Breaking The Law by Judas Priest,1,1,7,7
Living Loving Maid (She's Just a Woman),Led Zeppelin,1969,Living Loving Maid (She's Just a Woman) by Led Zeppelin,1,1,7,7
Give It Away,Red Hot Chili Peppers,1991,Give It Away by Red Hot Chili Peppers,1,1,7,7
You Wear It Well,Rod Stewart,1972,You Wear It Well by Rod Stewart,1,1,7,7
New World Man,Rush,1982,New World Man by Rush,1,1,7,7
No One to Depend On,Santana,1971,No One to Depend On by Santana,1,1,7,7
Driver's Seat,Sniff 'n' the Tears,1978,Driver's Seat by Sniff 'n' the Tears,1,1,7,7
Stop Draggin' My Heart Around,Stevie Nicks,1981,Stop Draggin' My Heart Around by Stevie Nicks,1,1,7,7
Big Empty,Stone Temple Pilots,1994,Big Empty by Stone Temple Pilots,1,1,7,7
Creep,Stone Temple Pilots,1993,Creep by Stone Temple Pilots,1,1,7,7
Wild Wild Life,Talking Heads,1986,Wild Wild Life by Talking Heads,1,1,7,7
Lady Madonna,The Beatles,1968,Lady Madonna by The Beatles,1,1,7,7
Strawberry Fields Forever,The Beatles,1967,Strawberry Fields Forever by The Beatles,1,1,7,7
With a Little Help From My Friends,The Beatles,1967,With a Little Help From My Friends by The Beatles,1,1,7,7
Remedy,The Black Crowes,1992,Remedy by The Black Crowes,1,1,7,7
All Day And All Of The Night,The Kinks,1964,All Day And All Of The Night by The Kinks,1,1,7,7
I Wanna Rock,Twisted Sister,1984,I Wanna Rock by Twisted Sister,1,1,7,7
Beautiful Day,U2,2000,Beautiful Day by U2,1,1,7,7
Is This Love,Whitesnake,1987,Is This Love by Whitesnake,1,1,7,7
When I'm Gone,3 Doors Down,2002,When I'm Gone by 3 Doors Down,1,1,6,6
Big Gun,AC/DC,1993,Big Gun by AC/DC,1,1,6,6
You Oughta Know,Alanis Morissette,1995,You Oughta Know by Alanis Morissette,1,1,6,6
Melissa,Allman Brothers Band,1972,Melissa by Allman Brothers Band,1,1,6,6
Cradle of Love,Billy Idol,1990,Cradle of Love by Billy Idol,1,1,6,6
Carry On,"Crosby, Stills, Nash & Young",1970,"Carry On by Crosby, Stills, Nash & Young",1,1,6,6
Ohio,"Crosby, Stills, Nash & Young",1970,"Ohio by Crosby, Stills, Nash & Young",1,1,6,6
Sunset Grill,Don Henley,1985,Sunset Grill by Don Henley,1,1,6,6
Pretending,Eric Clapton,1989,Pretending by Eric Clapton,1,1,6,6
Tusk,Fleetwood Mac,1979,Tusk by Fleetwood Mac,1,1,6,6
Hocus Pocus,Focus,1971,Hocus Pocus by Focus,1,1,6,6
Everlong,Foo Fighters,1997,Everlong by Foo Fighters,1,1,6,6
My Sweet Lord,George Harrison,1970,My Sweet Lord by George Harrison,1,1,6,6
Boulevard Of Broken Dreams,Green Day,2004,Boulevard Of Broken Dreams by Green Day,1,1,6,6
Midnight Rider,Gregg Allman,1970,Midnight Rider by Gregg Allman,1,1,6,6
Little Wing,Jimi Hendrix,1967,Little Wing by Jimi Hendrix,1,1,6,6
Is She Really Going Out With Him?,Joe Jackson,1979,Is She Really Going Out With Him? by Joe Jackson,1,1,6,6
In the City,Joe Walsh,1979,In the City by Joe Walsh,1,1,6,6
Custard Pie,Led Zeppelin,1975,Custard Pie by Led Zeppelin,1,1,6,6
Out On The Tiles,Led Zeppelin,1970,Out On The Tiles by Led Zeppelin,1,1,6,6
Who Can It Be Now?,Men At Work,1982,Who Can It Be Now? by Men At Work,1,1,6,6
Beds Are Burning,Midnight Oil,1988,Beds Are Burning by Midnight Oil,1,1,6,6
Bark At The Moon,Ozzy Osbourne,1983,Bark At The Moon by Ozzy Osbourne,1,1,6,6
Me And Julio Down By The Schoolyard,Paul Simon,1972,Me And Julio Down By The Schoolyard by Paul Simon,1,1,6,6
Jet City Woman,Queensryche,1990,Jet City Woman by Queensryche,1,1,6,6
Let's Spend the Night Together,Rolling Stones,1967,Let's Spend the Night Together by Rolling Stones,1,1,6,6
Mother's Little Helper,Rolling Stones,1966,Mother's Little Helper by Rolling Stones,1,1,6,6
Cecilia,Simon & Garfunkel,1970,Cecilia by Simon & Garfunkel,1,1,6,6
Spoonman,Soundgarden,1994,Spoonman by Soundgarden,1,1,6,6
Higher Love,Steve Winwood,1986,Higher Love by Steve Winwood,1,1,6,6
Everybody Wants to Rule the World,Tears for Fears,1985,Everybody Wants to Rule the World by Tears for Fears,1,1,6,6
Eight Days A Week,The Beatles,1964,Eight Days A Week by The Beatles,1,1,6,6
Magical Mystery Tour,The Beatles,1967,Magical Mystery Tour by The Beatles,1,1,6,6
OH DARLING,The Beatles,1969,OH DARLING by The Beatles,1,1,6,6
Lonely Boy,The Black Keys,2011,Lonely Boy by The Black Keys,1,1,6,6
Hello Again,The Cars,1984,Hello Again by The Cars,1,1,6,6
Can't Stand Losing You,The Police,1978,Can't Stand Losing You by The Police,1,1,6,6
Little Guitars,Van Halen,1982,Little Guitars by Van Halen,1,1,6,6
Cherry Pie,Warrant,1990,Cherry Pie by Warrant,1,1,6,6
Jesus Just Left Chicago,ZZ Top,1973,Jesus Just Left Chicago by ZZ Top,1,1,6,6
Mama Kin,Aerosmith,1973,Mama Kin by Aerosmith,1,1,5,5
Miami 2017 {seen The Lights Go Out On Broadway} (live 1,Billy Joel,1976,Miami 2017 {seen The Lights Go Out On Broadway} (live 1 by Billy Joel,1,1,5,5
The Stranger,Billy Joel,1977,The Stranger by Billy Joel,1,1,5,5
Tangled Up In Blue,Bob Dylan,1975,Tangled Up In Blue by Bob Dylan,1,1,5,5
Rosalita (Come Out Tonight),Bruce Springsteen,1973,Rosalita (Come Out Tonight) by Bruce Springsteen,1,1,5,5
Spirit In The Night,Bruce Springsteen,1973,Spirit In The Night by Bruce Springsteen,1,1,5,5
Comedown,Bush,1994,Comedown by Bush,1,1,5,5
Long Haired Country Boy,Charlie Daniels Band,1975,Long Haired Country Boy by Charlie Daniels Band,1,1,5,5
Lodi,Creedence Clearwater Revival,1969,Lodi by Creedence Clearwater Revival,1,1,5,5
China Girl,David Bowie,1983,China Girl by David Bowie,1,1,5,5
Desperado,Eagles,1973,Desperado by Eagles,1,1,5,5
Victim of Love,Eagles,1976,Victim of Love by Eagles,1,1,5,5
Strange Magic,Electric Light Orchestra,1985,Strange Magic by Electric Light Orchestra,1,1,5,5
Turn To Stone,Electric Light Orchestra,1978,Turn To Stone by Electric Light Orchestra,1,1,5,5
Funeral for a Friend (Love Lies Bleeding),Elton John,1973,Funeral for a Friend (Love Lies Bleeding) by Elton John,1,1,5,5
The Final Countdown,Europe,1986,The Final Countdown by Europe,1,1,5,5
Waiting for a Girl Like You,Foreigner,1981,Waiting for a Girl Like You by Foreigner,1,1,5,5
Basket Case,Green Day,1994,Basket Case by Green Day,1,1,5,5
Holiday / Boulevard of Broken Dreams,Green Day,2004,Holiday / Boulevard of Broken Dreams by Green Day,1,1,5,5
Devil Inside,INXS,1988,Devil Inside by INXS,1,1,5,5
A Life Of Illusion,Joe Walsh,1981,A Life Of Illusion by Joe Walsh,1,1,5,5
I'm Alright,Kenny Loggins,1980,I'm Alright by Kenny Loggins,1,1,5,5
Four Sticks,Led Zeppelin,1971,Four Sticks by Led Zeppelin,1,1,5,5
Moby Dick,Led Zeppelin,1969,Moby Dick by Led Zeppelin,1,1,5,5
Ten Years Gone,Led Zeppelin,1975,Ten Years Gone by Led Zeppelin,1,1,5,5
Close My Eyes Forever,Lita Ford,1988,Close My Eyes Forever by Lita Ford,1,1,5,5
Down Under,Men At Work,1982,Down Under by Men At Work,1,1,5,5
(Sittin' On) The Dock of the Bay,Otis Redding,1968,(Sittin' On) The Dock of the Bay by Otis Redding,1,1,5,5
Mr. Crowley,Ozzy Osbourne,1980,Mr. Crowley by Ozzy Osbourne,1,1,5,5
Bicycle Race/fat Bottomed Girls,Queen,1978,Bicycle Race/fat Bottomed Girls by Queen,1,1,5,5
Man On The Silver Mountain,Rainbow,1975,Man On The Silver Mountain by Rainbow,1,1,5,5
It Don't Come Easy,Ringo Starr,1971,It Don't Come Easy by Ringo Starr,1,1,5,5
Reason to Believe,Rod Stewart,1971,Reason to Believe by Rod Stewart,1,1,5,5
Bitch,Rolling Stones,1971,Bitch by Rolling Stones,1,1,5,5
Can't You Hear Me Knocking,Rolling Stones,1971,Can't You Hear Me Knocking by Rolling Stones,1,1,5,5
Wild Horses,Rolling Stones,1971,Wild Horses by Rolling Stones,1,1,5,5
The Warrior,Scandal,1984,The Warrior by Scandal,1,1,5,5
Rikki Don't Lose That Number,Steely Dan,1974,Rikki Don't Lose That Number by Steely Dan,1,1,5,5
Green Eyed Lady,Sugarloaf,1970,Green Eyed Lady by Sugarloaf,1,1,5,5
Breakdown,The Alan Parsons Project,1977,Breakdown by The Alan Parsons Project,1,1,5,5
Love Shack,The B-52's,1989,Love Shack by The B-52's,1,1,5,5
A Hard Day's Night,The Beatles,1964,A Hard Day's Night by The Beatles,1,1,5,5
Can't Buy Me Love,The Beatles,1964,Can't Buy Me Love by The Beatles,1,1,5,5
Golden Slumbers,The Beatles,1969,Golden Slumbers by The Beatles,1,1,5,5
Got To Get You Into My Life,The Beatles,1966,Got To Get You Into My Life by The Beatles,1,1,5,5
Helter Skelter,The Beatles,1968,Helter Skelter by The Beatles,1,1,5,5
I Am the Walrus,The Beatles,1967,I Am the Walrus by The Beatles,1,1,5,5
I Feel Fine,The Beatles,1964,I Feel Fine by The Beatles,1,1,5,5
IN MY LIFE,The Beatles,1965,IN MY LIFE by The Beatles,1,1,5,5
Paperback Writer,The Beatles,1966,Paperback Writer by The Beatles,1,1,5,5
Twist and Shout,The Beatles,1963,Twist and Shout by The Beatles,1,1,5,5
What a Fool Believes,The Doobie Brothers,1978,What a Fool Believes by The Doobie Brothers,1,1,5,5
Five To One,The Doors,1968,Five To One by The Doors,1,1,5,5
TALKING IN YOUR SLEEP,The Romantics,1983,TALKING IN YOUR SLEEP by The Romantics,1,1,5,5
Handle with Care,The Traveling Wilburys,1988,Handle with Care by The Traveling Wilburys,1,1,5,5
Athena,The Who,1982,Athena by The Who,1,1,5,5
Bad,U2,1984,Bad by U2,1,1,5,5
Bullet the Blue Sky,U2,1987,Bullet the Blue Sky by U2,1,1,5,5
MLK/Pride,U2,1984,MLK/Pride by U2,1,1,5,5
Wild Night,Van Morrison,1971,Wild Night by Van Morrison,1,1,5,5
Pearl Necklace,ZZ Top,1981,Pearl Necklace by ZZ Top,1,1,5,5
Dog On A Leash,Adelitas Way,2014,Dog On A Leash by Adelitas Way,1,1,4,4
Last Child,Aerosmith,1976,Last Child by Aerosmith,1,1,4,4
Eighteen,Alice Cooper,1971,Eighteen by Alice Cooper,1,1,4,4
Statesboro Blues,Allman Brothers Band,1971,Statesboro Blues by Allman Brothers Band,1,1,4,4
(You Gotta) Fight for Your Right (To Party),Beastie Boys,1986,(You Gotta) Fight for Your Right (To Party) by Beastie Boys,1,1,4,4
Can't Find My Way Home,Blind Faith,1969,Can't Find My Way Home by Blind Faith,1,1,4,4
Green Onions,Booker T. and the MG's,1962,Green Onions by Booker T. and the MG's,1,1,4,4
Amanda,Boston,1986,Amanda by Boston,1,1,4,4
Tenth Avenue Freeze-Out,Bruce Springsteen,1975,Tenth Avenue Freeze-Out by Bruce Springsteen,1,1,4,4
Heaven,Bryan Adams,1984,Heaven by Bryan Adams,1,1,4,4
Take Out The Gunman,Chevelle,2014,Take Out The Gunman by Chevelle,1,1,4,4
Higher,Creed,1999,Higher by Creed,1,1,4,4
Bell Bottom Blues,Derek & The Dominos,1970,Bell Bottom Blues by Derek & The Dominos,1,1,4,4
Tequila Sunrise,Eagles,1973,Tequila Sunrise by Eagles,1,1,4,4
The Best of My Love,Eagles,1974,The Best of My Love by Eagles,1,1,4,4
DANIEL,Elton John,1973,DANIEL by Elton John,1,1,4,4
Someone Saved My Life Tonight,Elton John,1975,Someone Saved My Life Tonight by Elton John,1,1,4,4
Let It Grow,Eric Clapton,1974,Let It Grow by Eric Clapton,1,1,4,4
What It's Like,Everlast,1999,What It's Like by Everlast,1,1,4,4
Second Hand News,Fleetwood Mac,1977,Second Hand News by Fleetwood Mac,1,1,4,4
I Want to Know What Love Is,Foreigner,1984,I Want to Know What Love Is by Foreigner,1,1,4,4
That Was Yesterday,Foreigner,1984,That Was Yesterday by Foreigner,1,1,4,4
Holiday (Live),Green Day,2004,Holiday (Live) by Green Day,1,1,4,4
Cat's In The Cradle,Harry Chapin,1974,Cat's In The Cradle by Harry Chapin,1,1,4,4
Alone,Heart,1987,Alone by Heart,1,1,4,4
